id;title;genres;budget_millions;vote_average;vote_count
10481;102 Dalmatians;Comedy Family;85.00;5.1;313
59108;Tower Heist;Action Comedy;75.00;5.8;932
1581;The Holiday;Comedy Romance;85.00;6.7;1225
9798;Enemy of the State;Action Drama Thriller;90.00;6.7;1240
22897;It's Complicated;Comedy Romance;85.00;6.2;360
298;Ocean's Thirteen;Crime Thriller;85.00;6.5;1999
7484;Open Season;Adventure Animation Family;85.00;6.1;656
157350;Divergent;Adventure Action Science Fiction;85.00;6.9;4663
853;Enemy at the Gates;War;68.00;7.2;999
10159;The Rundown;Adventure Action Comedy Thriller;85.00;6.4;514
9593;Last Action Hero;Adventure Fantasy Action Comedy Family;85.00;6.1;712
1904;Memoirs of a Geisha;Drama History Romance;85.00;7.3;652
9615;The Fast and the Furious: Tokyo Drift;Action Crime Drama Thriller;85.00;6.1;1705
297;Meet Joe Black;Fantasy Drama Mystery;90.00;6.9;1147
9884;Collateral Damage;Action Thriller Drama;85.00;5.5;427
62764;Mirror Mirror;Adventure Fantasy Drama Comedy Science Fiction;85.00;5.5;1114
22538;Scott Pilgrim vs. the World;Action Adventure Comedy;60.00;7.2;2126
9341;The Core;Action Thriller Adventure Science Fiction;60.00;5.4;516
12107;Nutty Professor II: The Klumps;Fantasy Comedy Romance Science Fiction;84.00;4.7;332
9637;Scooby-Doo;Mystery Adventure Comedy;84.00;5.4;820
49049;Dredd;Action Science Fiction;50.00;6.6;1940
9339;Click;Comedy Drama Fantasy Romance;82.50;6.0;2104
16281;Creepshow;Horror Comedy Fantasy;8.00;6.7;226
39691;Cats & Dogs 2 : The Revenge of Kitty Galore;Comedy Family;85.00;4.9;119
8247;Jumper;Adventure Fantasy Science Fiction;85.00;5.9;1799
11253;Hellboy II: The Golden Army;Adventure Fantasy Science Fiction;85.00;6.5;1527
1949;Zodiac;Crime Drama Mystery Thriller;65.00;7.3;2023
8452;The 6th Day;Science Fiction;82.00;5.7;595
310;Bruce Almighty;Fantasy Comedy;80.00;6.4;3012
27578;The Expendables;Thriller Adventure Action;80.00;6.0;2926
954;Mission: Impossible;Adventure Action Thriller;80.00;6.7;2631
70160;The Hunger Games;Science Fiction Adventure Fantasy;75.00;6.9;9455
45243;The Hangover Part II;Comedy;80.00;6.2;3739
364;Batman Returns;Action Fantasy;80.00;6.6;1673
7518;Over the Hedge;Comedy Animation Family;80.00;6.3;1074
11544;Lilo & Stitch;Animation Family;80.00;7.1;1314
9986;Charlotte's Web;Comedy Family Fantasy;85.00;5.8;288
8656;Deep Impact;Action Drama Romance;75.00;5.9;855
146216;RED 2;Action Comedy Crime Thriller;84.00;6.4;1526
9291;The Longest Yard;Comedy Drama;82.00;6.2;785
55301;Alvin and the Chipmunks: Chipwrecked;Comedy Fantasy Family Music Animation;75.00;5.4;484
109418;Grown Ups 2;Comedy;80.00;5.8;1155
11665;Get Smart;Action Comedy Thriller;80.00;6.0;1051
6964;Something's Gotta Give;Drama Comedy Romance;80.00;6.3;410
11324;Shutter Island;Drama Thriller Mystery;80.00;7.8;6336
12193;Four Christmases;Comedy Romance Drama;80.00;5.3;331
9928;Robots;Animation Comedy Family Science Fiction;75.00;6.0;1333
754;Face/Off;Action Crime Science Fiction Thriller;80.00;6.8;1583
10202;Bedtime Stories;Fantasy Comedy Family Romance;80.00;5.9;901
4147;Road to Perdition;Thriller Crime Drama;80.00;7.3;1077
50546;Just Go with It;Romance Comedy;80.00;6.3;1543
1701;Con Air;Action Thriller Crime;75.00;6.5;1270
13027;Eagle Eye;Mystery Thriller Action;80.00;6.3;1018
2289;Cold Mountain;Drama;79.00;6.7;533
20504;The Book of Eli;Action Thriller Science Fiction;80.00;6.6;2164
9574;Flubber;Comedy Family Science Fiction;80.00;5.3;695
11618;The Haunting;Horror Thriller Fantasy Mystery;80.00;5.2;369
2300;Space Jam;Animation Comedy Drama Family Fantasy;80.00;6.5;1288
10200;The Day the Earth Stood Still;Drama Science Fiction Thriller;80.00;5.2;1043
8834;Conspiracy Theory;Action Drama Mystery Thriller;75.00;6.5;431
